filename,height,width,class,xmin,ymin,xmax,ymax
frame01716.jpg,720,1280,0wheel,240,174,886,494
frame00251.jpg,720,1280,0wheel,468,95,752,600
frame06252.jpg,1080,1920,0wheel,727,254,1438,663
frame00665.jpg,720,1280,0wheel,221,130,694,538
frame07563.jpg,1080,1920,0wheel,873,268,1208,773
frame03632.jpg,720,1280,0wheel,208,125,922,392
frame08487.jpg,1080,1920,0wheel,513,371,1147,705
frame00508.jpg,720,1280,0wheel,248,108,813,603
frame03907.jpg,720,1280,0wheel,314,105,805,584
frame00725.jpg,720,1280,0wheel,242,109,623,567
frame05271.jpg,1080,1920,0wheel,567,161,1130,664
frame00657.jpg,720,1280,0wheel,201,131,685,529
frame05818.jpg,1080,1920,0wheel,556,216,1391,692
frame01410.jpg,720,1280,0wheel,61,76,819,518
frame00368.jpg,720,1280,0wheel,347,54,679,523
frame02223.jpg,720,1280,0wheel,456,117,990,452
frame08270.jpg,1080,1920,0wheel,500,252,1309,645
frame02589.jpg,720,1280,0wheel,184,101,996,415
frame01131.jpg,720,1280,0wheel,188,170,871,474
frame00804.jpg,720,1280,0wheel,306,129,975,532
frame04029.jpg,720,1280,0wheel,375,84,844,552
frame06057.jpg,1080,1920,0wheel,500,178,1222,659
frame00612.jpg,720,1280,0wheel,212,117,749,503
frame01202.jpg,720,1280,0wheel,355,185,984,567
frame03885.jpg,720,1280,0wheel,316,113,823,594
frame09184.jpg,1080,1920,0wheel,828,84,1292,846
frame08066.jpg,1080,1920,0wheel,563,130,1317,734
frame08185.jpg,1080,1920,0wheel,706,240,1383,735
frame04688.jpg,1080,1920,0wheel,816,253,1140,739
frame00699.jpg,720,1280,0wheel,275,152,671,597
frame00062.jpg,720,1280,0wheel,441,145,697,576
frame08311.jpg,1080,1920,0wheel,487,224,1319,580
frame02757.jpg,720,1280,0wheel,373,99,893,543
frame04996.jpg,1080,1920,0wheel,761,179,1171,717
frame02311.jpg,720,1280,0wheel,507,154,945,448
frame04063.jpg,720,1280,0wheel,426,56,873,521
frame08675.jpg,1080,1920,0wheel,504,159,1207,459
frame09409.jpg,1080,1920,0wheel,701,209,1340,819
frame05336.jpg,1080,1920,0wheel,531,192,1160,675
frame08404.jpg,1080,1920,0wheel,610,325,1218,617
frame03737.jpg,720,1280,0wheel,181,62,830,546
frame00038.jpg,720,1280,0wheel,420,144,684,576
frame01361.jpg,720,1280,0wheel,44,27,868,431
frame05175.jpg,1080,1920,0wheel,732,223,1133,805
frame05557.jpg,1080,1920,0wheel,657,236,1119,718
frame01727.jpg,720,1280,0wheel,251,179,898,460
frame08378.jpg,1080,1920,0wheel,554,324,1190,625
frame06268.jpg,1080,1920,0wheel,652,296,1389,692
frame01078.jpg,720,1280,0wheel,190,136,813,425
frame05534.jpg,1080,1920,0wheel,627,269,1104,761
frame07855.jpg,1080,1920,0wheel,607,207,1281,732
frame02628.jpg,720,1280,0wheel,355,83,1179,359
frame07412.jpg,1080,1920,0wheel,713,236,1140,708
frame06676.jpg,1080,1920,0wheel,394,276,1309,733
frame03560.jpg,720,1280,0wheel,258,299,922,626
frame06562.jpg,1080,1920,0wheel,485,311,1414,626
frame02044.jpg,720,1280,0wheel,144,184,899,545
frame03820.jpg,720,1280,0wheel,247,106,827,577
frame07922.jpg,1080,1920,0wheel,491,181,1316,732
frame07493.jpg,1080,1920,0wheel,636,251,983,768
frame00535.jpg,720,1280,0wheel,252,138,798,582
frame02459.jpg,720,1280,0wheel,197,134,1011,419
frame05385.jpg,1080,1920,0wheel,511,218,1168,694
frame01276.jpg,720,1280,0wheel,264,122,997,437
frame05733.jpg,1080,1920,0wheel,553,221,1463,790
frame06725.jpg,1080,1920,0wheel,461,315,1306,763
frame07525.jpg,1080,1920,0wheel,881,255,1178,800
frame09401.jpg,1080,1920,0wheel,691,229,1317,847
frame01985.jpg,720,1280,0wheel,205,52,843,574
frame00095.jpg,720,1280,0wheel,459,139,727,609
frame09040.jpg,1080,1920,0wheel,381,118,1257,522
frame04944.jpg,1080,1920,0wheel,753,130,1196,711
frame02726.jpg,720,1280,0wheel,388,43,966,509
frame02302.jpg,720,1280,0wheel,510,161,947,456
frame02779.jpg,720,1280,0wheel,344,62,879,486
frame04912.jpg,1080,1920,0wheel,810,150,1278,782
frame04601.jpg,1080,1920,0wheel,719,199,1171,747
frame08728.jpg,1080,1920,0wheel,432,138,1157,539
frame08080.jpg,1080,1920,0wheel,579,163,1325,739
frame06680.jpg,1080,1920,0wheel,396,286,1298,743
frame05868.jpg,1080,1920,0wheel,550,206,1334,609
frame06804.jpg,1080,1920,0wheel,361,329,1290,747
frame06258.jpg,1080,1920,0wheel,688,274,1411,679
frame07278.jpg,1080,1920,0wheel,698,248,1370,703
frame07548.jpg,1080,1920,0wheel,874,276,1197,781
frame03357.jpg,720,1280,0wheel,346,136,968,615
frame05870.jpg,1080,1920,0wheel,546,205,1330,608
frame07597.jpg,1080,1920,0wheel,840,302,1171,817
frame07648.jpg,1080,1920,0wheel,862,311,1217,783
frame07786.jpg,1080,1920,0wheel,789,306,1273,739
frame07031.jpg,1080,1920,0wheel,462,405,1390,745
frame06578.jpg,1080,1920,0wheel,450,302,1393,619
frame00220.jpg,720,1280,0wheel,463,121,728,604
frame07725.jpg,1080,1920,0wheel,844,297,1288,750
frame08289.jpg,1080,1920,0wheel,464,251,1296,623
frame04627.jpg,1080,1920,0wheel,762,204,1165,739
frame05314.jpg,1080,1920,0wheel,547,177,1152,667
frame06021.jpg,1080,1920,0wheel,399,161,1191,689
frame02080.jpg,720,1280,0wheel,202,167,956,460
frame00845.jpg,720,1280,0wheel,244,173,1002,544
frame01760.jpg,720,1280,0wheel,279,181,870,416
frame09174.jpg,1080,1920,0wheel,854,66,1373,836
frame09141.jpg,1080,1920,0wheel,731,85,1361,829
frame03425.jpg,720,1280,0wheel,297,170,1064,555
frame02887.jpg,720,1280,0wheel,386,47,919,564
frame00783.jpg,720,1280,0wheel,354,88,954,513
